Keyword,Source,Sentence,隐含情绪,情绪动机,置信度
偏心,comment,他们需要时我在，需求冲突时可以协调，他们长大需要独立时我退出，他们想去哪里我都支持，他们总有一天会独立的过着自己的生活，我和我老头儿就相伴了此余生,正面,学业,low
偏心,comment,老大是普娃，有需求也会提出，也会自己争取，大部分时间需求不是冲突的呀,正面,学业,low
偏心,comment,加油，你会更好,正面,学业,low
偏心,content,质地也给了我惊喜，本来只冲颜值入手，轻盈乳霜感，夏天涂也不闷油膜，涂完打字、拿玻璃杯都不粘指纹，完全不耽误事,正面,学业,low
偏心,content,努力一辈子，以为成功了，实际上却洗牌了,正面,学业,low
偏心,content,Hihi，萧萧又来拆解追妻文啦，今天拆的短篇是如今在榜上的《不再端水后》，具体见图片 故事梗概 起：国家分配，女主林又嫁给了一对兽人兄弟，她谨遵公平原则，在兽人兄弟间努力维持平衡，却长期忍受着弟弟楚川的语言伤害和哥哥楚洲的疏离,正面,学业,low
偏心,comment,回复：金融，对冲,正面,学业,low
偏心,comment,晚上努努力可能三宝就来了,正面,学业,low
偏心,comment,伤疤永远不会愈合，真的就是童年里的那束光，成年后再怎么努力也补不回来了，递过去的热茶，转身就给了另外一个，以后只对自己好,正面,学业,low
偏心,content,二胎之间最容易发生冲突的原因就是感觉家人偏心，没有安全感，所以会通过一些方式来引起家人注意,正面,学业,low
查手机,comment,路人🚶‍➡️看到女主揽起袁基冲向坐骑往外跑的那一幕被帅到了啊啊啊啊,正面,学业,low
道德绑架,content,你开始觉得自己做错了什么，仿佛亏欠了对方，内心涌起一股强烈的冲动，必须做些什么来“补偿”，否则便难以安宁,正面,学业,low
道德绑架,comment,我们都在努力维护但还是没能走的长久，因为我们的底层代码是相冲的，我最终没能改掉她介意的点，也消耗了她所有耐心，归根结底是我不够用上心,正面,学业,low
道德绑架,comment,要敢于和对方起冲突，敢于守护自己利益,正面,学业,low
道德绑架,comment,姐妹，先处理好和自己的关系，既然你提前意识到这可能会发生冲突证明你是有觉察能力的,正面,学业,low
道德绑架,comment,是的，他们国内也很多被冲击的行业，我有个在上海的朋友说的，失业的失业，行业缩减的缩减，到处裁员关店，一些地方本来街上很多商铺和人的，后来很多实体店都关了，还有人去商场的自动取餐机器领免费食物,正面,学业,low
道德绑架,comment,更有可能在饲养方面产生更多更多的分歧和冲突,正面,学业,low
道德绑架,comment,这种感觉的产生，往往源于两方面的冲突： 现实层面：沟通的无效性、耐心的透支，以及面对“不可控”状况时的无力感,正面,学业,low
道德绑架,comment,哈哈哈哈哈哈哈哈哈哈确实啊，想想还是要更努力了,正面,学业,low
道德绑架,comment,3 防御过头是不理智情况下的应激反应，发现自己心跳加快要冲动了，先深呼吸，淡定下来,正面,学业,low
