original_index,Sentence,LLM_label(0/1/2),LLM三分类标签,bert_prediction,BERT三分类预测,情绪类型,隐含情绪,is_correct
56159,看了大家很多评论，也想分享我写这篇的底层感受,0,中性,1,负面,中性,中性,1
65528,我表现出来了 我真的想走,0,中性,0,中性,中性,中性,1
27782,确实生源整体不怎么样,0,中性,1,负面,中性,中性,1
61826,已经找好房子啦，过几天就搬家,0,中性,0,中性,中性,中性,0
18051,我家孩子还挺喜欢穿校服,1,负面,1,负面,显性情绪,,0
25098,花钱的3+2大专不让上，努力争取上了1年的中专,2,正面,1,负面,隐含情绪,正面,1
26047,很多原生家庭父母不和强撑着反而对孩子成长不利,1,负面,0,中性,隐含情绪,委屈,1
49639,就是按部就班地讲呗，没什么技术可言）,0,中性,0,中性,中性,中性,1
33622,现在不用，之后再做,0,中性,0,中性,中性,中性,1
17192,看了一下，我三年前是社恐，程度应该是轻度到中度，不过我现在是非常开朗的人啦,1,负面,0,中性,显性情绪,,0
17948,现在学生还是保守了，二十多年前，老师和学生都带刀棍和气枪上学，扔粉笔扔板擦扔桌子都是常事，用戒尺打手打屁股每天都在上演，无论师生都有发泄的渠道，反而更稳定,1,负面,1,负面,显性情绪,,0
34382,回复：所有人早饭吐了吃这个,0,中性,0,中性,中性,中性,0
52928,我以为是鱼鳍，就是市场上卖的那种什么罗非鱼草鱼一类的鱼的鱼鳍，我说那东西也不能吃呀，怎么还有人吃,0,中性,1,负面,中性,中性,1
36595,回复：哈哈哈还是江苏卷,0,中性,0,中性,中性,中性,1
10052,看到你的评论我感觉才能安慰到评论区里的一些人，某些评论还在说什么不理解，说别人消极的，冷嘲热讽，不安慰就算了让人看的真不舒服，理解一下别人的想法真的很难吗,1,负面,0,中性,显性情绪,,1
24884,我也心疼两边父母不易，可是自己也很努力的活，再去看托举，自立，啃老这种词只觉得讽刺,1,负面,2,正面,隐含情绪,正面/委屈,1
4722,回复：既可以朗读打卡，又可以反复听自己的语言，而且还可以一个手机，既能照着阅读，又能听到自己的声音，还有一点就是打开社恐，,1,负面,0,中性,显性情绪,,0
45072,可以的宝宝,0,中性,0,中性,中性,中性,1
17773,回复：老师你就算把五条悟写成少萝我都看🥹,1,负面,0,中性,显性情绪,,0
24634,他们主要查这些： 1. 聊天记录（微信、WhatsApp、iMessage等） 2. 社交动态（朋友圈、微博、小红书、抖音） 3. 邮箱内容 4. 照片（截图、票据、合同都算） 5. 通讯录、备忘录、笔记类APP 海关看这些，是想通过手机内容判断你真实的入境目的,1,负面,0,中性,隐含情绪,焦虑,0
54149,现在就糊糊涂涂的到大三了，不知道考研还是直接找工作，看着网上都在说工作难找，以及历届学长学姐的就业情况不容乐观，我都想直接回家摇奶茶算了，反正我这个专业以人脉著称，我这种普通家庭还没有这么强的人脉可以拉我进圈,0,中性,1,负面,中性,中性,0
26829,真的，什么也没做就受到很多攻击，究其原因就是身边的人自卑拧巴心眼小，但好像只攻击我，为什么把我当成比较对象呢,1,负面,0,中性,隐含情绪,委屈,1
24484,我家孩子买的作业帮 本来以为能省点 说有的地方听不懂 不能问 又报的线下,1,负面,0,中性,隐含情绪,焦虑,1
26251,但是情感需求、个人社交状况，几乎从来不关心，没有被理解和看到过，提了会说你不懂事，所以不提了，不能说是情感忽视，压根没觉得我有自己的感受,1,负面,0,中性,隐含情绪,焦虑,1
30321,人文社科的天赋应该是对世界和人有热情和好奇心，并且心胸宽广,0,中性,0,中性,中性,中性,1
22018,还有那种外向的擅长从社交里吸取能量的,1,负面,0,中性,隐含情绪,焦虑,0
59069,期望与你一起，在复杂的时代里留下清晰的印迹,0,中性,1,负面,中性,中性,1
30700,不许打起来哈 - 附理科❤️竞赛❤️16本❤️ 附理科❤️竞赛❤️16本❤️ 附理科❤️竞赛❤️16本❤️ - #国际竞赛 #国际学校 #国际教育 #鄙视链 #数学 #物理 #化学 #信息 #生物 #数学竞赛 #物理竞赛 #生物竞赛 #化学竞赛,0,中性,0,中性,中性,中性,1
20705,我是初中，还说人家脾气好和善，跟谁都能友好相处，为什么我会呛他,1,负面,1,负面,显性情绪,,1
27533,哎我们没有小组大部分都是同桌讨论而且还不让下位,0,中性,1,负面,中性,中性,0
2971,回复：不知道我也愁呢，，我一开始想买那个黑色的,1,负面,0,中性,显性情绪,,1
15484,回复：有的家庭是,1,负面,0,中性,显性情绪,,0
21176,回复：心疼你宝宝 遇到这种人,1,负面,0,中性,显性情绪,,1
43413,我只看见了时代少年团,0,中性,0,中性,中性,中性,1
27213,阅读理解 完形填空,0,中性,0,中性,中性,中性,1
26316,为什么很多孩子长大后，跟父母“不亲”,1,负面,0,中性,隐含情绪,委屈,0
57784,你说到点上了 不过过去带来的影响还得靠自己疗愈 这样的家出来的都不是一般人 祝你也祝我,0,中性,2,正面,中性,中性,1
73058,五六年级我过得都很舒心，当然成绩依旧是全班第一,0,中性,0,中性,中性,中性,0
37141,我当时第一反应就是：终于可以离开天津，去外省看看更大的世界了,0,中性,0,中性,中性,中性,0
43596,看起来质量好好,0,中性,0,中性,中性,中性,1
71736,我也是这种感觉，没有谁对谁错 谁孤立谁,0,中性,1,负面,中性,中性,1
38605,只要孩子愿意，成绩一般也行，钱我交，但是孩子不上早自习,0,中性,0,中性,中性,中性,1
21857,初中物理挺简单的，你上课认真听，听不懂也要硬听，这样慢慢地就开窍了,1,负面,0,中性,隐含情绪,焦虑,0
65415,回复：不知道有可能吧反正我没有亲妹妹我和我亲弟弟关系很好，如果说有亲妹妹的话那应该关系也会很好，看个人吧，都是看人，有的亲姐妹都反目成仇，不绝对,0,中性,0,中性,中性,中性,1
23759,宝宝加油好好考，千万别来鸿德,2,正面,2,正面,隐含情绪,正面,0
20558,回复：好的谢谢你,1,负面,1,负面,显性情绪,,0
41823,满屋看看实在不知道打扫哪里，把所有房间门框、门板擦了一遍……,0,中性,0,中性,中性,中性,1
6871,回复：同求，谢谢,1,负面,1,负面,显性情绪,,0
24119,回复：得了吧，家长会投诉为什么要家长签字，就像这篇帖子一样,1,负面,0,中性,隐含情绪,焦虑,1
34901,回复：不然呢，985就是比我这种211的更强啊，承认别人厉害很难吗,0,中性,0,中性,中性,中性,0
20764,✅ 第三步：硬气怼回去,1,负面,1,负面,显性情绪,,1
32552,理科也是 我有点心死了 之前一直靠数学拿分,0,中性,0,中性,中性,中性,0
35981,每个人体感温度不一样，可能她们真觉得凉,0,中性,0,中性,中性,中性,1
23447,姐姐怎么做到的好厉害今天早上才查完分发现无缘211，如果去双非一本，要卷到什么程度才可以做到跨度这么大呀以及想问问姐姐选的专业,1,负面,0,中性,隐含情绪,自卑,1
56587,原来这么多年，我一直在向心里那个假想的声音，证明自己值得,0,中性,0,中性,中性,中性,0
3808,刚来的时候还想保研的，刚上课就不想学了，期中期末四级啥的全裸考，这周六的六级仍然裸考,1,负面,1,负面,显性情绪,,1
11961,我妈骂，我顶嘴就让我爸打,1,负面,1,负面,显性情绪,,1
16039,正好最近在给孩子做认字启蒙，这个小卡片上的拼音很实用，现在每天睡觉前我娃都会让我陪她抽卡聊会天，小兔子的造型很可爱，玩着就能引导娃思考表达，小嘴现在可会说了,1,负面,1,负面,显性情绪,,0
14822,写得好棒好喜欢,1,负面,1,负面,显性情绪,,0
4508,回复：没关系啦，已经考完了，我一开始都觉得我自己只能靠530左右呢（因为我没对答案纯猜的），但最后也发挥超常了，相信自己,1,负面,1,负面,显性情绪,,0
25944,但是我从小很想养小狗，家里一直不同意，我上班之后亲戚家的狗狗生崽了，我妈妈说留一只在家，说是帮我养的，我明确跟她说了几次我现在在外地租房上班，我的条件不允许我养狗，接回家只能是她来养，她最后还是养了,1,负面,0,中性,隐含情绪,焦虑,0
45575,被班主任罚站两天在教室外面,0,中性,1,负面,中性,中性,0
